id,name,short_name,location,type,code,phone_no,box_no
116,THE HARVEY INSTITUTE OF HEALTH SCIENCES - NKOZI,THE HARVEY INST.,MPIGI,PFP,U097,789952283,21239
117,ISLAMIC UNIVERSITY IN UGANDA - KABOJJA SCHOOL OF NURSING AND MIDWIFERY,IUIU - KABOJJA,WAKISO,PFP,U098,757720500,0
118,ST. AMBROSE INSTITUTE OF HEALTH SCIENCES - KAGADI,ST. AMBROSE,KAGADI,PFP,U102,772973153,0
119,ST. MATHIAS SCHOOL OF NURSING AND MIDWIFERY - RUBIRIZI,ST. MATHIAS,RUBIRIZI,PFP,U103,782622172,0
120,PRIME SCHOOL OF NURSING AND MIDWIFERY - KYENJOJO,PRIME SNM,KYENJOJO,PFP,U104,702298884,0
121,INTERNATIONAL SCHOOL OF NURSING AND MIDWIFERY - MAYA,INTERNATIONAL SCH. MAYA,MAYA,PFP,U105,2147483647,0
122,ST. MARYS INSTITUTE OF HEALTH SCIENCES - KOLE,KOLE,KAMPALA,PFP,U101,772688401,18
123,BUNDIBUGYO SCHOOL OF NURSING AND MIDWIFERY,BUNDIBUGYO SNM,BUNDIBUGYO,PFP,U106,0,0
124,KAABONG COLLEGE OF NURSING AND MIDWIFERY,KABONG,KABONG,GOVERNMENT,U107,0,0
125,SEMBABULE SCHOOL OF NURSING AND MIDWIFERY,SEMBABULE,SSEMBABULE,PRIVATE,U111,772498320,1388
126,PAK MEMORIAL TRINITY INSTITUTE OF NURSING AND MIDWIFERY KYENJOJO,PAK MEMORIAL,KYENJOJO,PRIVATE,U110,772870283,3515
127,DEFENCE FORCES INSTITUTE OF HEALTH SCIENCES,DEFENCE FORCES,JINJA,GOVERNMENT,U108,711911280,600
128,MAGANJO SCHOOL OF NURSING AND MIDWIFERY,MAGANJO,KAWEMPE WAKISO,PRIVATE,U109,393217558,35569
129,MUBENDE INSTITUTE OF NURSING AND MIDWIFERY,MUBENDE INSTITUTE,MUBENDE,PFP,U112,751303212,7063
130,ST. ANDREA KAAHWA INSTITUTE OF HEALTH SCIENCES - KAKUMIRO,ST. ANDREA,KAKUMIRO,Training Institution,U113,0,0
131,KIBOGA SCHOOL OF NURSING AND MIDWIFERY,KIBOGA HEALTH,KIBOGA,Training Institution,U114,393228084,193
